Meta-Modelo,Alg. Alvo,RMSE,Spearman,N Features
Random Forest,DecisionTree,0.0958264650494363,0.6599999999999999,224
Random Forest,SVM,0.15501909114581938,0.45999999999999996,224
Random Forest,KNN,0.1214021619077517,0.8099999999999999,224
Random Forest,LogisticRegression,0.08768407883779093,0.76,224
Random Forest,Perceptron,0.20238205649687252,0.52,224
Random Forest,MLP,0.15159948393775066,0.6799999999999999,224
KNN (k=5),DecisionTree,0.14412773151098082,0.29486832980505134,224
KNN (k=5),SVM,0.18318253802996737,0.2637864787372622,224
KNN (k=5),KNN,0.17219382341810227,-0.14149216171274204,224
KNN (k=5),LogisticRegression,0.16337304229308722,-0.14513167019494863,224
KNN (k=5),Perceptron,0.21395726431758094,0.3110818510677892,224
KNN (k=5),MLP,0.17752808160898825,0.4732455532033676,224
